iter	Passed	Remaining
0	13	39186
1	29	43576
2	44	44363
3	60	45102
4	78	47193
5	95	47722
6	111	47869
7	125	47048
8	140	46543
9	155	46506
10	172	46980
11	187	46738
12	201	46282
13	216	46224
14	231	46085
15	246	46049
16	264	46469
17	280	46531
18	298	46791
19	314	46834
20	331	47082
21	348	47224
22	364	47241
23	381	47336
24	397	47280
25	413	47280
26	430	47370
27	445	47305
28	460	47221
29	476	47162
30	491	47089
31	509	47298
32	525	47282
33	541	47260
34	558	47318
35	574	47310
36	590	47299
37	608	47414
38	623	47324
39	639	47312
40	655	47330
41	672	47362
42	689	47428
43	705	47429
44	721	47410
45	738	47437
46	754	47397
47	768	47260
48	786	47337
49	801	47312
50	818	47334
51	837	47459
52	853	47476
53	869	47451
54	885	47421
55	901	47417
56	918	47398
57	934	47403
58	950	47376
59	967	47415
60	983	47387
61	1001	47436
62	1016	47377
63	1031	47302
64	1045	47223
65	1061	47202
66	1078	47225
67	1093	47160
68	1109	47147
69	1125	47129
70	1141	47097
71	1159	47143
72	1178	47246
73	1196	47295
74	1213	47332
75	1230	47328
76	1246	47324
77	1266	47426
78	1287	47589
79	1312	47902
80	1330	47949
81	1351	48088
82	1368	48101
83	1385	48096
84	1402	48094
85	1417	48014
86	1434	48019
87	1450	47996
88	1464	47908
89	1481	47889
90	1497	47864
91	1514	47882
92	1530	47833
93	1544	47757
94	1561	47760
95	1580	47803
96	1596	47780
97	1612	47746
98	1627	47694
99	1643	47670
100	1659	47642
101	1676	47646
102	1693	47621
103	1710	47631
104	1726	47598
105	1742	47570
106	1758	47551
107	1775	47545
108	1792	47546
109	1811	47580
110	1827	47557
111	1843	47528
112	1860	47535
113	1876	47507
114	1893	47492
115	1910	47500
116	1926	47478
117	1941	47423
118	1956	47374
119	1972	47346
120	1990	47366
121	2006	47338
122	2022	47311
123	2039	47293
124	2056	47301
125	2072	47263
126	2087	47224
127	2103	47186
128	2119	47176
129	2136	47177
130	2153	47155
131	2167	47101
132	2184	47098
133	2200	47072
134	2217	47057
135	2233	47030
136	2248	46981
137	2263	46946
138	2280	46933
139	2297	46927
140	2314	46921
141	2330	46902
142	2347	46908
143	2364	46900
144	2381	46896
145	2399	46903
146	2415	46871
147	2432	46872
148	2447	46834
149	2464	46832
150	2481	46812
151	2496	46777
152	2511	46742
153	2527	46703
154	2544	46701
155	2561	46693
156	2576	46650
157	2594	46659
158	2610	46652
159	2626	46628
160	2642	46594
161	2658	46576
162	2675	46559
163	2691	46536
164	2707	46524
165	2724	46511
166	2739	46478
167	2756	46459
168	2772	46450
169	2789	46433
170	2805	46415
171	2822	46404
172	2840	46417
173	2856	46399
174	2872	46375
175	2888	46350
176	2905	46344
177	2922	46325
178	2938	46317
179	2959	46360
180	2973	46317
181	2990	46295
182	3005	46261
